route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
917,SaturdayReg,1068__62022_Timetable_-_2021-10,S - Ajax Station,0,62022_Timetable_-_2021-10,100.0.1046831484_Timetable_-_2021-10,Eastbound,1
120,Weekday,1069__12022_Timetable_-_2021-10,Sunbird Trail,0,12022_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,106__62904_Timetable_-_2021-10,Oshawa,0,62904_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
917,SaturdayReg,1070__3630_Timetable_-_2021-10,Oshawa Centre Terminal,0,3630_Timetable_-_2021-10,100.0.1152217838_Timetable_-_2021-10,Eastbound,1
120,Weekday,1072__12024_Timetable_-_2021-10,Sunbird Trail,0,12024_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1074__12024_Timetable_-_2021-10,Sunbird Trail,0,12024_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,107__64901_Timetable_-_2021-10,Scarborough,1,64901_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
120,Weekday,1083__12024_Timetable_-_2021-10,Sunbird Trail,0,12024_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,108__64902_Timetable_-_2021-10,Oshawa,0,64902_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
120,Weekday,1096__12030_Timetable_-_2021-10,Sunbird Trail,0,12030_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1099__12022_Timetable_-_2021-10,Sunbird Trail,0,12022_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,109__62905_Timetable_-_2021-10,B - Pickering Town Centre,1,62905_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
120,Weekday,1100__12033_Timetable_-_2021-10,Sunbird Trail,0,12033_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1101__12030_Timetable_-_2021-10,Sunbird Trail,0,12030_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,110__62906_Timetable_-_2021-10,Oshawa,0,62906_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
120,Weekday,1113__12028_Timetable_-_2021-10,Sunbird Trail,0,12028_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1116__12037_Timetable_-_2021-10,Sunbird Trail,0,12037_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
120,Weekday,1118__12028_Timetable_-_2021-10,Sunbird Trail,0,12028_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
