stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1187:1,1187,King Eastbound @ Rowe,,43.89992500000001,-78.853177,,,0,,,1
1188:1,1188,King Eastbound @ Central Park,,43.901002,-78.848573,,,0,,,1
1189:1,1189,King Eastbound @ Cadillac,,43.901543,-78.846174,,,0,,,1
1190:1,1190,King Eastbound @ Wilson,,43.902215,-78.843385,,,0,,,2
1191:1,1191,Eastbound @ 623 King,,43.902746,-78.841037,,,0,,,2
1192:1,1192,King Eastbound @ Farewell,,43.903023,-78.839804,,,0,,,1
1193:1,1193,King Eastbound @ Riverside,,43.90361,-78.837145,,,0,,,1
1194:1,1194,King Eastbound @ Harmony,,43.904153,-78.834637,,,0,,,1
1195:1,1195,King Eastbound @ Melrose,,43.905525,-78.828657,,,0,,,1
1196:1,1196,King Eastbound @ Keewatin,,43.905856,-78.82687,,,0,,,1
1197:1,1197,King Eastbound @ Grandview,,43.90560521,-78.823016,,,0,,,1
1198:1,1198,King Eastbound @ Rockcliffe,,43.905817,-78.820278,,,0,,,1
1199:1,1199,King Eastbound @ Eastlawn,,43.90612500000001,-78.816804,,,0,,,1
11:1,11,Garden Northbound @ Rossland (Durham Region Headquarters),,43.898916,-78.939531,,,0,,,1
1200:1,1200,King Eastbound @ Townline,,43.906406,-78.813775,,,0,,,1
1217:1,1217,Courtice Southbound @ Moyse (Courtice Community Complex),,43.914105,-78.778936,,,0,,,2
1218:1,1218,Highway 2 Westbound @ Courtice,,43.911594,-78.779235,,,0,,,1
1219:1,1219,Highway 2 Westbound @ Trulls,,43.911048,-78.788115,,,0,,,1
1220:1,1220,Highway 2 Westbound @ Sandringham,,43.909174,-78.79601,,,0,,,2
1221:1,1221,Highway 2 Westbound @ Prestonvale,,43.908585,-78.797674,,,0,,,1
1222:1,1222,Highway 2 Westbound @ Centerfield,,43.90764200000001,-78.803571,,,0,,,1
1223:1,1223,Highway 2 Westbound @ Varcoe,,43.907163,-78.807587,,,0,,,1
